id,state,destination,year,month,season,purpose_of_visit,visitor_type,number_of_visitors,avg_stay_days,avg_spend_inr,accommodation_type,transport_mode,rating_out_of_5
249,Uttarakhand,Auli,2024,July,Autumn,Honeymoon,Domestic,6151,4.6,37967,Hostel,Flight,3
250,Telangana,Nagarjunsagar,2024,December,Winter,Wellness,Domestic,45747,4.2,9800,Hotel,Car,5
251,Karnataka,Hampi,2021,May,Autumn,Business,Domestic,37925,2.2,65114,Homestay,Bus,3
252,Kerala,Munnar,2022,February,Winter,Heritage,Domestic,94,9.9,57572,Camp,Train,2
253,West Bengal,Darjeeling,2024,November,Winter,Honeymoon,Domestic,43599,9.1,23195,Homestay,Bus,1
254,West Bengal,Siliguri,2024,November,Autumn,Business,Domestic,31298,1.7,31147,Hotel,Flight,5
255,Rajasthan,Jaipur,2023,July,Winter,Family,Domestic,15054,4.4,14925,Houseboat,Train,1
256,Gujarat,Dwarka,2023,March,Autumn,Pilgrimage,Domestic,36965,1.1,23011,Houseboat,Train,4
257,Karnataka,Gokarna,2025,October,Autumn,Pilgrimage,Foreign,5731,9.1,19851,Houseboat,Car,1
258,Madhya Pradesh,Indore,2023,March,Monsoon,Wildlife,Domestic,16313,6.0,38845,Resort,Bus,1
259,Karnataka,Chikmagalur,2024,April,Spring,Wellness,Domestic,3626,8.1,32870,Houseboat,Car,4
260,Himachal Pradesh,Manali,2025,February,Spring,Heritage,Foreign,20790,2.2,56663,Guesthouse,Flight,3
261,Tamil Nadu,Madurai,2023,October,Winter,Adventure,Domestic,2660,9.3,53663,Hotel,Flight,5
262,Odisha,Chilika Lake,2025,February,Autumn,Wildlife,Domestic,10056,3.5,42120,Houseboat,Bike,1
263,Karnataka,Mysuru,2022,July,Monsoon,Backpacking,Domestic,28721,7.6,32778,Guesthouse,Flight,1
264,Goa,Calangute,2021,October,Autumn,Adventure,Domestic,48657,6.9,24522,Guesthouse,Flight,1
265,Uttarakhand,Jim Corbett,2023,August,Summer,Leisure,Domestic,47286,3.3,50241,Homestay,Bike,2
266,Himachal Pradesh,Shimla,2025,May,Autumn,Family,Domestic,37841,6.6,66531,Guesthouse,Flight,4
267,Gujarat,Ahmedabad,2025,March,Spring,Heritage,Domestic,6793,9.0,16617,Homestay,Train,2
268,Rajasthan,Jaipur,2024,January,Summer,Leisure,Domestic,9885,2.6,6135,Hostel,Bus,5
269,Maharashtra,Lonavala,2022,December,Autumn,Business,Foreign,37506,4.4,67303,Homestay,Bus,1
270,Maharashtra,Aurangabad,2021,February,Autumn,Leisure,Domestic,20411,3.9,73994,Hostel,Bus,4
271,Gujarat,Rann of Kutch,2025,May,Spring,Honeymoon,Domestic,24185,6.3,66165,Houseboat,Bike,2
272,Maharashtra,Pune,2024,January,Autumn,Leisure,Domestic,45496,8.9,45411,Resort,Bike,1
273,West Bengal,Kolkata,2022,April,Spring,Business,Foreign,9380,7.4,13693,Hostel,Car,1
274,Odisha,Chilika Lake,2025,December,Autumn,Family,Domestic,8799,6.7,53188,Hotel,Bike,1
275,Sikkim,Gangtok,2024,April,Summer,Wildlife,Foreign,25802,7.3,44262,Homestay,Bus,3
276,Uttar Pradesh,Varanasi,2024,March,Summer,Adventure,Domestic,6974,2.5,62586,Camp,Bike,3
277,Himachal Pradesh,Spiti,2021,August,Summer,Family,Domestic,7908,1.8,41374,Homestay,Car,5
278,Karnataka,Coorg,2021,December,Winter,Pilgrimage,Domestic,3258,7.1,35600,Resort,Bus,2
279,Madhya Pradesh,Pachmarhi,2022,April,Spring,Backpacking,Domestic,9211,2.1,9583,Hotel,Car,2
280,Karnataka,Hampi,2024,October,Winter,Family,Foreign,4964,1.2,9950,Guesthouse,Bus,2
281,Uttarakhand,Rishikesh,2021,January,Winter,Family,Domestic,37660,4.9,53273,Hostel,Flight,4
282,Madhya Pradesh,Gwalior,2025,June,Summer,Wildlife,Domestic,29279,9.0,6041,Resort,Train,5
283,Bihar,Bodh Gaya,2025,July,Autumn,Honeymoon,Domestic,18385,4.4,56449,Guesthouse,Car,2
284,Maharashtra,Nashik,2024,July,Winter,Backpacking,Domestic,31813,4.1,67349,Camp,Bus,3
285,Uttar Pradesh,Varanasi,2023,October,Monsoon,Leisure,Foreign,18461,1.5,63324,Resort,Flight,5
286,Sikkim,Pelling,2024,April,Winter,Pilgrimage,Domestic,48353,1.5,30258,Houseboat,Train,5
287,Gujarat,Rann of Kutch,2025,October,Summer,Pilgrimage,Foreign,1898,7.3,47595,Homestay,Bus,5
288,Uttarakhand,Auli,2025,September,Autumn,Business,Domestic,5965,1.5,30179,Homestay,Train,1
289,Telangana,Hyderabad,2021,April,Spring,Family,Domestic,11680,9.3,43913,Camp,Train,1
290,Uttarakhand,Auli,2021,September,Winter,Pilgrimage,Foreign,24533,7.3,53351,Camp,Bus,5
291,Punjab,Ludhiana,2025,March,Summer,Family,Domestic,31979,6.8,24333,Houseboat,Car,5
292,Gujarat,Rann of Kutch,2021,July,Summer,Wellness,Domestic,47814,1.0,52827,Homestay,Bus,5
293,Tamil Nadu,Mahabalipuram,2023,April,Spring,Family,Domestic,32567,2.3,11698,Houseboat,Bike,2
294,Punjab,Chandigarh,2021,August,Monsoon,Adventure,Domestic,45477,1.6,35140,Hotel,Bus,1
295,Kerala,Wayanad,2025,March,Autumn,Heritage,Foreign,23068,5.9,14794,Hostel,Car,4
296,Maharashtra,Pune,2022,January,Winter,Heritage,Domestic,6913,1.7,23796,Homestay,Flight,4
297,Goa,Anjuna,2024,October,Monsoon,Adventure,Domestic,28317,9.5,23126,Guesthouse,Car,5
298,Tamil Nadu,Chennai,2023,April,Monsoon,Adventure,Domestic,47369,9.3,72295,Resort,Car,3
299,West Bengal,Darjeeling,2021,July,Winter,Adventure,Foreign,10115,1.5,2000,Guesthouse,Bike,4
300,West Bengal,Siliguri,2021,April,Autumn,Wellness,Domestic,41874,3.6,12239,Hotel,Flight,4
301,West Bengal,Digha,2022,November,Autumn,Heritage,Domestic,25446,2.7,51496,Homestay,Flight,3
302,Andhra Pradesh,Vizag,2023,August,Autumn,Honeymoon,Foreign,37028,1.6,14175,Homestay,Train,1
303,Assam,Sivasagar,2022,September,Summer,Wellness,Foreign,27485,9.7,63736,Hotel,Car,5
304,Telangana,Nagarjunsagar,2024,December,Autumn,Adventure,Domestic,33920,8.2,20826,Hotel,Bike,1
305,Tamil Nadu,Ooty,2023,March,Summer,Business,Domestic,44819,4.9,20882,Hotel,Car,5
306,Punjab,Jalandhar,2025,July,Winter,Adventure,Domestic,18151,5.7,3120,Guesthouse,Car,5
307,Odisha,Chilika Lake,2025,March,Autumn,Adventure,Domestic,49751,9.7,14633,Resort,Bike,1
308,Himachal Pradesh,Dharamshala,2023,July,Monsoon,Backpacking,Domestic,37538,6.5,6410,Homestay,Car,2
309,Madhya Pradesh,Bhopal,2023,November,Spring,Wellness,Domestic,21774,7.2,7960,Houseboat,Car,4
310,Gujarat,Ahmedabad,2023,May,Monsoon,Family,Foreign,44932,1.9,31378,Homestay,Car,2
311,Andhra Pradesh,Araku Valley,2025,October,Autumn,Honeymoon,Domestic,13903,9.2,54868,Houseboat,Flight,4
312,Gujarat,Ahmedabad,2022,February,Summer,Backpacking,Domestic,34409,8.9,5294,Homestay,Bike,2
313,Karnataka,Bengaluru,2024,August,Winter,Business,Domestic,18005,4.3,62346,Hotel,Bus,5
314,Himachal Pradesh,Dalhousie,2022,June,Summer,Leisure,Domestic,31152,6.3,47343,Hostel,Bike,3
315,Uttar Pradesh,Prayagraj,2022,January,Monsoon,Adventure,Domestic,37553,8.0,29591,Hostel,Flight,2
316,Karnataka,Coorg,2023,January,Spring,Wildlife,Domestic,8721,6.8,2609,Camp,Flight,2
317,Bihar,Nalanda,2024,July,Autumn,Honeymoon,Domestic,14350,5.2,69741,Camp,Bus,5
318,Sikkim,Gangtok,2024,November,Spring,Leisure,Domestic,38963,6.5,40621,Camp,Bus,1
319,Goa,Panaji,2024,May,Monsoon,Honeymoon,Domestic,33951,7.9,8941,Homestay,Bus,5
320,Punjab,Jalandhar,2025,November,Winter,Pilgrimage,Domestic,27481,4.6,6129,Hostel,Bus,5
321,Karnataka,Coorg,2025,November,Spring,Business,Foreign,44081,4.2,40847,Camp,Car,2
322,Tamil Nadu,Kodaikanal,2021,March,Autumn,Adventure,Domestic,36686,7.9,25495,Houseboat,Bus,3
323,Maharashtra,Lonavala,2021,July,Monsoon,Business,Domestic,38425,3.6,16937,Camp,Bus,4
324,Sikkim,Namchi,2021,August,Winter,Wellness,Domestic,44660,4.4,40606,Resort,Bike,4
325,Uttarakhand,Haridwar,2023,July,Monsoon,Business,Domestic,46952,2.6,12092,Guesthouse,Car,4
326,Tamil Nadu,Kodaikanal,2021,August,Winter,Leisure,Domestic,11099,6.2,22266,Homestay,Train,4
327,Uttarakhand,Auli,2023,July,Autumn,Wildlife,Domestic,2522,5.8,50403,Hostel,Car,1
328,Odisha,Bhubaneswar,2025,November,Winter,Leisure,Domestic,22617,3.8,14962,Houseboat,Train,4
329,Sikkim,Lachung,2022,January,Winter,Pilgrimage,Domestic,34147,6.4,45780,Homestay,Bus,4
330,Punjab,Patiala,2021,March,Summer,Family,Domestic,14751,7.5,18697,Camp,Car,2
331,Sikkim,Namchi,2021,June,Winter,Pilgrimage,Domestic,42014,3.3,71588,Houseboat,Flight,5
332,Bihar,Patna,2022,January,Winter,Adventure,Domestic,24970,2.1,34626,Houseboat,Flight,4
333,Karnataka,Gokarna,2021,July,Monsoon,Leisure,Domestic,17743,6.6,19478,Houseboat,Flight,4
334,Odisha,Gopalpur,2022,May,Winter,Wellness,Domestic,39961,2.8,35971,Hotel,Flight,5
335,Gujarat,Vadodara,2022,March,Monsoon,Wildlife,Domestic,13661,7.2,64501,Hotel,Bike,3
336,Rajasthan,Jaipur,2023,October,Winter,Adventure,Domestic,5953,8.0,11336,Houseboat,Car,1
337,Maharashtra,Mahabaleshwar,2024,August,Monsoon,Honeymoon,Foreign,2635,8.7,48714,Hotel,Flight,3
338,Himachal Pradesh,Shimla,2023,March,Winter,Leisure,Domestic,28736,9.6,36667,Houseboat,Train,1
339,Punjab,Chandigarh,2021,July,Autumn,Adventure,Foreign,45263,8.7,56778,Hostel,Bus,2
340,Uttarakhand,Jim Corbett,2024,February,Summer,Leisure,Domestic,37336,7.1,25258,Hostel,Bike,5
341,Gujarat,Gir,2021,August,Summer,Leisure,Foreign,28930,1.4,35790,Hostel,Flight,3
342,Odisha,Gopalpur,2022,April,Spring,Wellness,Domestic,45154,7.3,13983,Houseboat,Bus,4
343,Telangana,Nagarjunsagar,2022,September,Summer,Wildlife,Domestic,10334,5.6,63010,Guesthouse,Flight,4
344,Goa,Calangute,2021,June,Summer,Family,Domestic,36127,6.8,54358,Homestay,Flight,2
345,Andhra Pradesh,Vijayawada,2024,February,Autumn,Wellness,Domestic,7829,9.8,3829,Camp,Car,1
346,Jammu and Kashmir,Srinagar,2022,January,Spring,Backpacking,Domestic,40621,6.7,68128,Camp,Flight,5
347,Andhra Pradesh,Araku Valley,2021,April,Winter,Family,Domestic,40666,6.4,49117,Camp,Car,4
348,Himachal Pradesh,Dalhousie,2024,June,Winter,Business,Domestic,24553,7.3,7500,Homestay,Bus,2
349,Uttarakhand,Jim Corbett,2021,May,Winter,Wildlife,Domestic,25798,2.9,26479,Guesthouse,Train,3
350,Jammu and Kashmir,Srinagar,2021,August,Winter,Wellness,Foreign,8873,9.7,2068,Hostel,Bike,5
351,Assam,Sivasagar,2024,September,Autumn,Wellness,Domestic,11430,7.6,18327,Camp,Train,1
352,Bihar,Vaishali,2024,July,Spring,Family,Foreign,16318,3.5,46439,Hostel,Bike,3
353,Uttarakhand,Haridwar,2022,December,Spring,Wildlife,Domestic,46023,5.9,42644,Houseboat,Bike,5
354,Karnataka,Mysuru,2025,November,Monsoon,Wellness,Foreign,42654,9.8,24806,Homestay,Train,5
355,Punjab,Jalandhar,2024,September,Monsoon,Adventure,Domestic,43772,7.4,71479,Hostel,Bike,3
356,Rajasthan,Pushkar,2023,July,Winter,Adventure,Domestic,13150,3.4,22594,Resort,Flight,3
357,Uttarakhand,Rishikesh,2024,September,Summer,Honeymoon,Foreign,6766,6.5,30900,Hotel,Bus,5
358,Maharashtra,Aurangabad,2021,July,Winter,Honeymoon,Foreign,44951,3.8,73868,Hostel,Car,1
359,Uttar Pradesh,Varanasi,2023,April,Autumn,Wellness,Domestic,35872,7.6,27251,Houseboat,Bus,2
360,Andhra Pradesh,Tirupati,2022,March,Summer,Adventure,Domestic,2713,4.9,74454,Houseboat,Bike,3
361,Tamil Nadu,Mahabalipuram,2025,June,Winter,Honeymoon,Domestic,21193,6.4,40972,Hostel,Train,4
362,Assam,Majuli,2024,September,Monsoon,Adventure,Domestic,33154,2.4,72682,Resort,Train,5
363,Goa,Panaji,2025,November,Summer,Business,Domestic,14366,9.6,71033,Homestay,Bus,4
364,Rajasthan,Jaipur,2021,April,Autumn,Family,Foreign,16029,9.6,43565,Houseboat,Bike,4
365,Madhya Pradesh,Indore,2022,January,Monsoon,Backpacking,Domestic,33390,5.0,7247,Guesthouse,Bus,3
366,Punjab,Bathinda,2021,March,Winter,Adventure,Domestic,41136,1.6,29441,Camp,Bike,4
367,Karnataka,Chikmagalur,2021,December,Winter,Wildlife,Domestic,47030,4.0,12971,Houseboat,Train,1
368,Tamil Nadu,Kodaikanal,2023,October,Winter,Backpacking,Foreign,26764,4.5,54511,Camp,Train,4
369,Rajasthan,Jaisalmer,2025,January,Spring,Adventure,Domestic,48936,6.3,11014,Houseboat,Bike,3
370,Himachal Pradesh,Dharamshala,2022,February,Spring,Honeymoon,Domestic,43351,1.3,21989,Homestay,Car,5
371,Uttarakhand,Jim Corbett,2025,May,Spring,Wildlife,Domestic,47847,6.8,2961,Houseboat,Train,5
372,Uttarakhand,Rishikesh,2024,October,Winter,Leisure,Domestic,5628,3.7,46569,Guesthouse,Car,2
373,Odisha,Bhubaneswar,2024,April,Summer,Pilgrimage,Domestic,11935,7.0,8628,Guesthouse,Bus,5
374,Assam,Guwahati,2022,May,Winter,Honeymoon,Domestic,31978,9.6,48310,Hotel,Train,2
375,Himachal Pradesh,Dharamshala,2025,April,Winter,Wellness,Domestic,40442,6.9,21474,Homestay,Car,5
376,Gujarat,Dwarka,2023,January,Summer,Wildlife,Domestic,46724,7.7,58663,Homestay,Train,3
377,Uttarakhand,Jim Corbett,2021,August,Autumn,Family,Domestic,31964,6.0,24538,Hostel,Bus,5
378,Uttar Pradesh,Varanasi,2025,May,Summer,Backpacking,Domestic,1270,8.6,5588,Houseboat,Flight,5
379,Madhya Pradesh,Ujjain,2024,September,Winter,Business,Foreign,35418,5.2,20981,Homestay,Bike,3
380,Maharashtra,Aurangabad,2022,August,Summer,Honeymoon,Domestic,23896,5.5,32810,Guesthouse,Bike,5
381,Odisha,Bhubaneswar,2021,March,Summer,Heritage,Domestic,9631,7.6,64873,Guesthouse,Bike,3
382,Maharashtra,Mahabaleshwar,2024,May,Winter,Business,Domestic,13601,5.7,48849,Homestay,Train,4
383,Andhra Pradesh,Vizag,2025,February,Monsoon,Leisure,Domestic,17973,8.5,36013,Houseboat,Bike,5
384,Sikkim,Pelling,2024,June,Autumn,Wildlife,Domestic,24713,9.8,30715,Guesthouse,Flight,5
385,Gujarat,Dwarka,2023,October,Autumn,Heritage,Foreign,28879,2.5,11604,Hotel,Bike,5
386,Karnataka,Mysuru,2024,June,Summer,Pilgrimage,Domestic,27222,8.3,16355,Guesthouse,Flight,4
387,Telangana,Warangal,2025,November,Summer,Wellness,Domestic,2877,2.2,22619,Camp,Car,2
388,Kerala,Thekkady,2021,March,Winter,Pilgrimage,Domestic,26621,6.4,3940,Homestay,Train,3
389,Karnataka,Hampi,2025,August,Autumn,Wellness,Foreign,39426,2.3,25339,Resort,Train,5
390,Uttar Pradesh,Varanasi,2025,October,Autumn,Family,Domestic,25311,2.2,3670,Guesthouse,Flight,2
391,Odisha,Gopalpur,2021,October,Summer,Wildlife,Domestic,40338,6.4,71155,Hotel,Train,5
392,Goa,Calangute,2023,September,Spring,Pilgrimage,Foreign,44520,6.8,69925,Camp,Flight,4
393,Kerala,Kovalam,2022,April,Autumn,Backpacking,Domestic,25034,4.2,14307,Camp,Car,4
394,Uttar Pradesh,Mathura,2025,May,Winter,Business,Domestic,12437,1.0,2432,Guesthouse,Bike,5
395,Himachal Pradesh,Spiti,2025,November,Autumn,Leisure,Domestic,7035,2.4,34744,Resort,Bus,3
396,Jammu and Kashmir,Jammu,2022,May,Spring,Family,Domestic,27131,6.0,74580,Houseboat,Car,4
397,Gujarat,Gir,2022,May,Autumn,Backpacking,Domestic,46285,4.6,19596,Homestay,Bike,1
398,Andhra Pradesh,Lepakshi,2024,April,Winter,Pilgrimage,Domestic,36132,6.5,8322,Guesthouse,Car,2
399,Rajasthan,Jaipur,2024,October,Autumn,Pilgrimage,Domestic,14583,4.3,6448,Hostel,Flight,4
400,Bihar,Gaya,2022,December,Monsoon,Backpacking,Foreign,11536,6.8,59036,Guesthouse,Flight,1
401,Odisha,Konark,2022,October,Winter,Business,Domestic,40367,2.5,6226,Guesthouse,Bike,3
402,Rajasthan,Udaipur,2025,July,Monsoon,Adventure,Domestic,13177,5.7,10493,Homestay,Car,1
403,West Bengal,Siliguri,2021,June,Spring,Backpacking,Domestic,12798,5.1,54447,Homestay,Bus,5
404,Uttar Pradesh,Varanasi,2025,February,Spring,Wildlife,Domestic,22330,9.5,68777,Guesthouse,Flight,3
405,Sikkim,Lachung,2021,October,Autumn,Heritage,Domestic,30121,7.1,5084,Hostel,Train,4
406,Uttar Pradesh,Agra,2021,November,Summer,Wildlife,Foreign,27078,9.6,69199,Houseboat,Train,5
407,Uttar Pradesh,Varanasi,2025,July,Winter,Honeymoon,Domestic,11747,5.3,47838,Houseboat,Bus,2
408,Uttar Pradesh,Varanasi,2025,December,Autumn,Business,Domestic,17443,2.9,28077,Resort,Train,2
409,Gujarat,Rann of Kutch,2025,February,Winter,Adventure,Domestic,35536,9.6,64714,Houseboat,Car,3
410,Punjab,Patiala,2025,August,Monsoon,Wellness,Domestic,14605,7.8,18309,Resort,Bike,1
411,Jammu and Kashmir,Sonmarg,2024,September,Winter,Backpacking,Foreign,11505,5.1,17276,Homestay,Car,5
412,Punjab,Jalandhar,2025,November,Winter,Leisure,Domestic,21377,4.3,35539,Resort,Car,2
413,Uttar Pradesh,Varanasi,2024,October,Autumn,Honeymoon,Domestic,27833,2.9,50299,Homestay,Bus,3
414,Uttar Pradesh,Mathura,2024,March,Spring,Pilgrimage,Foreign,47289,3.4,32407,Guesthouse,Train,5
415,Madhya Pradesh,Bhopal,2023,August,Summer,Pilgrimage,Domestic,32791,2.2,69265,Camp,Flight,5
416,Telangana,Nagarjunsagar,2021,October,Spring,Honeymoon,Domestic,10754,1.5,34830,Hotel,Car,4
417,Andhra Pradesh,Lepakshi,2023,June,Monsoon,Family,Domestic,16939,4.1,55470,Homestay,Bike,1
418,Bihar,Bodh Gaya,2024,November,Spring,Wellness,Domestic,18702,4.2,68404,Houseboat,Bike,4
419,Goa,Calangute,2025,August,Monsoon,Wellness,Foreign,42031,8.3,45722,Houseboat,Train,4
420,Sikkim,Yumthang,2024,March,Winter,Adventure,Domestic,42845,3.6,36558,Homestay,Train,5
421,Uttar Pradesh,Mathura,2021,September,Spring,Family,Domestic,1563,2.1,32253,Hostel,Car,3
422,Karnataka,Mysuru,2021,February,Winter,Wildlife,Domestic,1777,7.9,70179,Hotel,Car,1
423,Uttar Pradesh,Ayodhya,2025,November,Winter,Pilgrimage,Domestic,48388,3.6,18069,Hostel,Bus,2
424,Tamil Nadu,Chennai,2022,June,Monsoon,Leisure,Domestic,35477,9.4,73398,Camp,Car,4
425,Assam,Kaziranga,2024,August,Spring,Wellness,Domestic,41979,6.8,42087,Houseboat,Bike,3
426,Assam,Kaziranga,2023,May,Autumn,Adventure,Domestic,19944,1.1,70092,Homestay,Car,2
427,West Bengal,Digha,2025,December,Winter,Backpacking,Domestic,28259,8.2,31805,Hostel,Car,1
428,Gujarat,Rann of Kutch,2023,July,Spring,Wildlife,Domestic,48357,6.8,51092,Hostel,Train,2
429,Goa,Calangute,2022,October,Spring,Business,Domestic,48738,5.8,36735,Camp,Bus,4
430,Goa,South Goa,2023,February,Monsoon,Pilgrimage,Domestic,17884,7.3,65986,Houseboat,Car,2
431,Rajasthan,Udaipur,2021,January,Spring,Leisure,Domestic,8244,7.4,2575,Resort,Flight,2
432,Uttarakhand,Rishikesh,2023,June,Summer,Heritage,Domestic,32712,10.0,62276,Hostel,Bus,1
433,Goa,South Goa,2021,July,Monsoon,Leisure,Domestic,12645,9.1,34278,Hotel,Bike,4
434,Himachal Pradesh,Dalhousie,2024,August,Autumn,Business,Domestic,48240,7.9,69806,Resort,Flight,2
435,Madhya Pradesh,Gwalior,2023,March,Monsoon,Honeymoon,Domestic,36067,5.7,34702,Houseboat,Flight,4
436,Karnataka,Coorg,2022,February,Summer,Leisure,Domestic,11018,8.1,17182,Resort,Car,4
437,Rajasthan,Jaipur,2025,December,Autumn,Wellness,Domestic,5914,3.2,67025,Guesthouse,Train,1
438,Punjab,Jalandhar,2025,June,Winter,Leisure,Domestic,7088,2.1,31997,Houseboat,Train,3
439,Gujarat,Somnath,2025,December,Winter,Business,Domestic,16479,9.1,65109,Hostel,Bus,4
440,West Bengal,Sundarbans,2021,October,Summer,Heritage,Domestic,48048,5.2,74182,Resort,Bike,2
441,Odisha,Bhubaneswar,2025,May,Monsoon,Heritage,Domestic,41863,5.6,25818,Guesthouse,Bus,1
442,Gujarat,Gir,2022,December,Monsoon,Business,Foreign,12493,5.7,66714,Hotel,Bike,5
443,Bihar,Nalanda,2021,November,Autumn,Family,Domestic,43231,1.6,18509,Homestay,Flight,2
444,Karnataka,Bengaluru,2025,February,Summer,Heritage,Domestic,25517,6.9,70420,Hotel,Bike,5
445,Uttar Pradesh,Agra,2021,October,Summer,Family,Domestic,13729,6.9,11980,Houseboat,Flight,4
446,Gujarat,Gir,2022,December,Monsoon,Wildlife,Domestic,2714,7.6,41333,Hotel,Bike,1
447,Odisha,Puri,2025,September,Summer,Adventure,Domestic,43099,3.2,24948,Hostel,Train,5
448,Jammu and Kashmir,Leh,2025,June,Spring,Adventure,Domestic,28038,8.9,23364,Houseboat,Car,2
449,Madhya Pradesh,Ujjain,2024,September,Summer,Family,Foreign,20703,6.0,44053,Guesthouse,Car,3
450,Jammu and Kashmir,Leh,2024,April,Spring,Family,Domestic,36110,9.3,34803,Guesthouse,Bike,3
451,Andhra Pradesh,Vijayawada,2023,May,Winter,Leisure,Domestic,19831,1.1,30583,Guesthouse,Flight,2
452,Rajasthan,Mount Abu,2022,September,Spring,Honeymoon,Foreign,10189,1.8,61841,Guesthouse,Bike,3
453,Uttarakhand,Nainital,2023,April,Spring,Family,Foreign,6073,6.1,29999,Resort,Bus,1
454,Telangana,Warangal,2023,February,Spring,Heritage,Domestic,37817,4.4,8829,Guesthouse,Bus,3
455,Jammu and Kashmir,Sonmarg,2023,December,Summer,Adventure,Foreign,41592,8.0,51633,Houseboat,Bike,1
456,Odisha,Puri,2025,October,Spring,Family,Domestic,14520,2.4,52995,Resort,Bus,4
457,Sikkim,Namchi,2024,July,Summer,Adventure,Domestic,22081,1.7,7963,Homestay,Car,5
458,Uttar Pradesh,Agra,2025,July,Spring,Wildlife,Domestic,31567,6.0,65444,Camp,Train,4
459,Karnataka,Chikmagalur,2024,April,Spring,Wellness,Domestic,28234,3.9,13243,Resort,Flight,1
460,Jammu and Kashmir,Pahalgam,2024,June,Summer,Family,Domestic,20026,2.5,47338,Homestay,Bike,5
461,Bihar,Bodh Gaya,2022,April,Winter,Heritage,Domestic,47792,8.7,16228,Resort,Bus,1
462,Bihar,Bodh Gaya,2022,June,Winter,Honeymoon,Domestic,30929,1.2,28895,Houseboat,Flight,5
463,Karnataka,Chikmagalur,2025,September,Monsoon,Backpacking,Domestic,9313,7.3,3910,Hostel,Bike,4
464,Odisha,Puri,2021,January,Summer,Honeymoon,Domestic,40548,3.4,62443,Homestay,Train,1
465,Madhya Pradesh,Gwalior,2021,February,Monsoon,Honeymoon,Foreign,42609,4.5,51399,Hotel,Bus,5
466,Punjab,Patiala,2022,February,Spring,Wellness,Domestic,30064,6.0,4316,Resort,Train,1
467,Odisha,Konark,2025,July,Autumn,Family,Domestic,44897,4.2,41126,Houseboat,Train,2
468,Uttar Pradesh,Agra,2024,January,Autumn,Honeymoon,Domestic,22449,9.1,19491,Guesthouse,Bus,1
469,Odisha,Gopalpur,2025,July,Summer,Wellness,Domestic,20522,9.2,44660,Resort,Bike,4
470,Uttarakhand,Haridwar,2024,September,Spring,Pilgrimage,Foreign,20300,7.2,70156,Houseboat,Train,2
471,Uttarakhand,Jim Corbett,2021,June,Summer,Wellness,Domestic,47199,2.1,43128,Hotel,Bike,2
472,Punjab,Patiala,2025,August,Monsoon,Wildlife,Domestic,12366,2.0,25715,Houseboat,Bus,1
473,Bihar,Nalanda,2022,October,Spring,Wellness,Domestic,45097,1.2,11917,Resort,Bike,4
474,Odisha,Cuttack,2024,March,Monsoon,Heritage,Domestic,9062,2.5,31158,Camp,Car,1
475,Rajasthan,Jodhpur,2024,December,Summer,Wildlife,Domestic,4384,2.6,59077,Houseboat,Train,5
476,Punjab,Patiala,2025,July,Autumn,Business,Domestic,24978,7.5,53162,Camp,Flight,5
477,Bihar,Vaishali,2025,September,Winter,Backpacking,Domestic,2829,8.9,33707,Hotel,Car,5
478,Madhya Pradesh,Gwalior,2024,July,Spring,Leisure,Domestic,28856,4.6,41418,Guesthouse,Flight,3
479,Tamil Nadu,Madurai,2025,January,Spring,Honeymoon,Foreign,30431,8.5,60704,Houseboat,Bike,1
480,Himachal Pradesh,Manali,2021,March,Spring,Wellness,Domestic,1682,2.6,27967,Hostel,Car,4
481,Uttar Pradesh,Lucknow,2025,February,Winter,Pilgrimage,Domestic,5640,5.7,51843,Hotel,Car,5
482,Tamil Nadu,Madurai,2022,January,Autumn,Backpacking,Foreign,37110,8.8,21172,Camp,Train,2
483,Tamil Nadu,Rameswaram,2021,May,Autumn,Leisure,Domestic,11892,2.1,18745,Homestay,Car,2
484,Bihar,Nalanda,2022,August,Autumn,Leisure,Domestic,426,6.5,66179,Camp,Car,2
485,Sikkim,Ravangla,2025,July,Autumn,Heritage,Domestic,480,3.2,73241,Hostel,Flight,3
486,Assam,Kaziranga,2021,March,Summer,Leisure,Domestic,2175,7.0,40617,Hotel,Bus,3
487,Kerala,Munnar,2025,March,Summer,Wildlife,Domestic,45369,7.3,24754,Houseboat,Bus,4
488,Gujarat,Ahmedabad,2023,June,Monsoon,Adventure,Foreign,49755,4.8,73651,Homestay,Car,1
489,Telangana,Warangal,2025,June,Monsoon,Adventure,Domestic,45651,2.9,9126,Guesthouse,Car,1
490,Odisha,Puri,2025,December,Spring,Heritage,Domestic,20791,3.3,47880,Homestay,Car,2
491,Sikkim,Yumthang,2021,August,Autumn,Backpacking,Foreign,15301,7.4,26869,Camp,Train,1
492,Rajasthan,Jaisalmer,2022,October,Summer,Adventure,Domestic,22964,6.0,29331,Hostel,Car,1
493,West Bengal,Kalimpong,2024,May,Monsoon,Adventure,Domestic,451,2.0,45184,Guesthouse,Bike,3
494,Sikkim,Namchi,2024,April,Summer,Leisure,Foreign,31448,9.2,6160,Homestay,Bus,2
495,Uttarakhand,Jim Corbett,2023,June,Spring,Heritage,Foreign,3721,8.5,40735,Hostel,Car,5
496,Assam,Jorhat,2021,October,Summer,Leisure,Domestic,23223,1.6,21069,Houseboat,Bus,3
497,Punjab,Patiala,2021,October,Summer,Backpacking,Domestic,7707,8.8,41907,Guesthouse,Car,3
